,team_id,rating,wins,losses,last_match_time,name,tag,logo_url,WR
6775395,6775395.0,984.0,0.0,1.0,1552220758.0,Sad Player`s,SAD,https://steamusercontent-a.akamaihd.net/ugc/995765215214139534/14FB519C7A872065C621E331CDE625500A774F35/,0.0
5525439,5525439.0,954.172,0.0,3.0,1552220357.0,See you again,SYA,https://steamusercontent-a.akamaihd.net/ugc/773995689387221041/E8A591D4B38DD11728C981F87014DA6195B081FB/,0.0
4370119,4370119.0,985.439,1.0,2.0,1552222674.0,GL1NKOTEAM,GT,https://steamusercontent-a.akamaihd.net/ugc/913549709391075965/0A357B902A909A30AC30A85D612EAC83A815038E/,0.3333333333333333
6845853,6845853.0,998.668,1.0,1.0,1552223555.0,Akatsuki,Akatsuki,https://steamusercontent-a.akamaihd.net/ugc/967616059741983304/204CB55FA35121903A4AEEEB43E87A48C575B320/,0.5
6491135,6491135.0,1167.31,35.0,28.0,1552224858.0,Flying Penguins,FP,https://steamusercontent-a.akamaihd.net/ugc/995764507566907229/CB60599857CFB9D6710D508F7FC88A3E8D09FE95/,0.5555555555555556
6847578,6847578.0,1002.5,1.0,1.0,1552225063.0,Aesthetics Of Your Defeat,AoYD,https://steamusercontent-a.akamaihd.net/ugc/951853498851157533/737CBF1482138F86349DFAFD6D368E06E3560F2B/,0.5
6796039,6796039.0,984.197,1.0,2.0,1552237087.0,"Jeleznie Arnol,di",Ka4ok,https://steamusercontent-a.akamaihd.net/ugc/955230308952306857/534D810C7D850D4ADFA17FD39915AE6F84422CF9/,0.3333333333333333
6796797,6796797.0,1014.18,3.0,2.0,1552252840.0,ROFLIK,ROFL,https://steamusercontent-a.akamaihd.net/ugc/954104409054868109/36A21119777F530459C9DEDE50EA4CF400A16230/,0.6
4957062,4957062.0,1064.82,11.0,5.0,1552295097.0,Le Voyage,LV,https://steamusercontent-a.akamaihd.net/ugc/849344881092331310/FEBB601E5A87F1386821B17D226C558A7795E93A/,0.6875
6187627,6187627.0,1054.29,32.0,35.0,1552303299.0,Tigers,Tigers,https://steamusercontent-a.akamaihd.net/ugc/941705216659818425/A42295D9071E4E02286FE98A7946C111EB34E32A/,0.4776119402985074
