,team_id,name,rating,wins,losses,last_match_time,tag,name2
2585896,2585896,eEriness!,1173.86,20,4,1530377198,eE,_
2346476,2346476,LEGIO VICTRIX !,1173.76,15,1,1434211078,lv,_
7390454,7390454,Quincy Crew,1173.72,19,10,1571926326,QCY,_
995682,995682,SuperStrongDinosaurs,1173.54,27,21,1436466709,SSD,_
3325212,3325212,Natural 9,1173.22,74,21,1560416158,N9,_
7316976,7316976,Whoops!,1172.07,29,6,1581149464,Whoops!,_
6189996,6189996,Lotac,1171.06,39,31,1549791122,LOTAC,_
2789717,2789717,Polarity Dota 2,1169.95,32,30,1468431479,Polarity,_
689412,689412,"Team ""SEX""",1168.08,15,3,1382279007,sex,_
6491135,6491135,Flying Penguins,1167.31,35,28,1552224858,FP,_
498033,498033,FXOpen E-Sports,1166.34,22,6,1383045806,FXO,_
2880140,2880140,Fire Dragoon,1165.76,32,29,1521259802,FDG,_
2659468,2659468,WarriorsGaming.Unity,1165.6,176,126,1512618696,_,_
6929895,6929895,Pejuang Dota Badung,1164.82,14,1,1557053381,PDB,_
5067988,5067988,ROG TiTans,1163.74,35,14,1551533667,ROG,_
1286339,1286339,Arizona Iced Out Boys,1163.53,13,0,1395099934,sad,_
2783913,2783913,Escape Gaming,1160.23,83,100,1480181442,ESC,_
7220281,7220281,Furia,1159.64,46,52,1585933575,FURIA,_
5895083,5895083,Athletico,1159.59,75,30,1580548879,/A/,_
2552670,2552670,Prodota Gaming,1159.36,110,106,1497370190,PD,_
7344577,7344577,Gang Bang,1159.35,12,0,1566737645,GB,_
6736502,6736502,Fourzerozone,1159.19,23,7,1567780225,40z,_
7453744,7453744,KHAN,1158.8,55,47,1585584485,KHAN,_
468458,468458,E.C.,1158.71,22,8,1382465627,EC,_
680683,680683,Quantic|Gaming,1158.43,35,28,1380478840,Quantic,_
2244697,2244697,Team Archon,1158.18,53,40,1458604298,Archon,_
5000254,5000254,ForTheDream,1158.12,42,28,1511768191,FTD,_
2626685,2626685,KEEN GAMING,1157.77,373,347,1586351894,KG,_
5138280,5138280,Signify,1157.71,79,40,1561809918,Signify,_
1410456,1410456,TeamCoast,1157.23,26,12,1400425324,mmc,_
3547682,3547682,Team VGJ,1156.43,56,59,1498656255,VGJ,_
7469922,7469922,Demon Slayers,1155.95,8,9,1571593800,DemSlay,_
5407259,5407259,TNC Tigers,1155.9,26,18,1533715886,Tigers,_
6465690,6465690,Team Fantech,1155.88,13,2,1546153905,_,_
2512249,2512249,123,1155.77,286,197,1510864553,123,_
7269341,7269341,_,1155.23,24,11,1570203571,_,_
6796511,6796511,Saints ID,1155.13,18,6,1564317305,Saints,_
1848465,1848465,LaiGaming,1154.99,43,56,1421324382,LaiG,_
1256674,1256674,XPC International,1154.89,32,19,1412885225,XPC.Int,_
7359917,7359917,Lowkey,1154.26,61,47,1585215931,LK,_
4426165,4426165,xxX,1154.14,17,6,1513417977,Signify,_
4186376,4186376,Team Singularity,1153.14,59,38,1500658139,SNG,_
5051649,5051649,Immortals,1152.87,69,72,1529966930,IMT,_
