,team_id,win,losses,name,tag,last_match_time,rating,TS_rating,capitan,player_1,player_2,player_3,player_4,player_5
131185,131185,0,1,Who is ready to jump,_,1360071533,987.4002472069079,"trueskill.Rating(mu=982.677, sigma=87.987)",0,98123015,91590815,99607268,105689808,99186010
117322,117322,10,9,Imaginary Gaming,TORLOLRZ,1372708659,1059.702512120333,"trueskill.Rating(mu=1083.199, sigma=3.790)",0,16844582,9836250,105194732,87165186,8969983
281310,281310,14,33,TCM-Gaming,TCM,1372797948,923.2479872912112,"trueskill.Rating(mu=1077.708, sigma=1.705)",0,20771881,96005384,77287764,86736329,33989295
347090,347090,10,11,3D!Clan,3D,1363540296,1014.9527322431987,"trueskill.Rating(mu=1078.959, sigma=2.346)",0,91646642,86716947,53178236,93614932,47240869
350284,350284,2,2,davay dasvlidania,dd,1361216953,998.141732904411,"trueskill.Rating(mu=1071.319, sigma=10.525)",0,88271237,29337472,20237599,16769223,25907144
350190,350190,957,688,Fnatic,Fnatic,1587638537,1428.8051595661843,"trueskill.Rating(mu=1090.260, sigma=0.825)",100471531,100471531,102099826,84772440,375507918,113457795
263374,263374,1,14,freedom of the action,fota,1363536504,859.3138898217568,"trueskill.Rating(mu=1030.084, sigma=14.478)",0,86998156,112759687,105505929,91393860,42390942
293390,293390,204,189,Radical Online X-tremists,RoX.KIS,1401640167,1284.7599856060915,"trueskill.Rating(mu=1085.191, sigma=0.808)",0,89137399,134556694,96196828,94338967,76600360
196432,196432,0,1,Monomaniac eSports,mMe,1361211298,984.4906065123354,"trueskill.Rating(mu=962.517, sigma=75.311)",0,6103402,35306465,80120036,93916494,55315087
367332,367332,6,7,davay dasvidania,dd,1364242478,1036.538303678567,"trueskill.Rating(mu=1082.636, sigma=3.463)",0,88271237,29337472,16769223,91369682,86895585
227838,227838,0,1,oh deer,oh deer,1361816391,982.3647094673198,"trueskill.Rating(mu=890.490, sigma=65.628)",0,115690611,65971513,2673564,71859358,115397380
379397,379397,0,1,We Still Got It,WSG,1361816759,984.8274295241873,"trueskill.Rating(mu=962.597, sigma=75.344)",0,92119338,43652000,90159486,102199832,103812784
317638,317638,3,5,Team Gillette,Gillette,1382560494,985.5861762126544,"trueskill.Rating(mu=1074.060, sigma=5.991)",0,20771881,32032994,4945631,75721756,110752309
286326,286326,0,2,durkadoter,dd,1400092773,968.7363067935221,"trueskill.Rating(mu=915.067, sigma=73.178)",0,17946357,68243195,79005811,89715027,46038096
397559,397559,2,1,u Shakera Net Prokasta,uShNP,1362239173,1013.1337452634007,"trueskill.Rating(mu=1005.375, sigma=58.652)",0,53482884,123688515,87283048,86737705,50865558
271752,271752,1,1,4 Guys 1 Girl 1 Cup,4 G 1 G,1362239173,1002.866254736599,"trueskill.Rating(mu=1059.862, sigma=60.961)",0,33366656,50089447,68243195,66296404,108740230
411077,411077,1,0,davay dasvydanya,dd,1362248643,1012.6905409426828,"trueskill.Rating(mu=1100.000, sigma=56.284)",0,88271237,16769223,91369682,7185015,25907144
123748,123748,7,5,Imba Battlenet,Imba,1400531535,1052.4399481655764,"trueskill.Rating(mu=1087.815, sigma=6.823)",0,86953414,174767851,113676034,92209040,93936946
70,70,1,3,EYES ON U,EYES,1370884333,975.5755390390179,"trueskill.Rating(mu=978.587, sigma=45.459)",0,91461908,32512642,64558740,34611327,73318381
191405,191405,0,1,FULL COUNTER X,FCX,1363025980,985.662202213349,"trueskill.Rating(mu=963.598, sigma=75.795)",0,47359293,86822569,71823446,56814206,92291488
441708,441708,0,1,Pan IMP,IMP,1363026682,981.9754693171353,"trueskill.Rating(mu=962.154, sigma=75.146)",0,79303105,31874840,87232507,77097073,47473224
447646,447646,12,17,dadadadadadada,d d,1381341662,1029.9590032761923,"trueskill.Rating(mu=1081.843, sigma=1.696)",0,88271237,16769223,85783343,86799300,96169991
